classifier,metric,split,value
GradientBoostingRegressor,r2_score,test,0.5522957665811743
GradientBoostingRegressor,r2_score,train,0.6594472608059362
GradientBoostingRegressor,mean_squared_error,test,5.028130577961988
GradientBoostingRegressor,mean_squared_error,train,3.4150669337810253
GradientBoostingRegressor,mean_absolute_error,test,1.5259165703068789
GradientBoostingRegressor,mean_absolute_error,train,1.344914399172821
RandomForestRegressor,r2_score,test,0.532280884746396
RandomForestRegressor,r2_score,train,0.9357366886316169
RandomForestRegressor,mean_squared_error,test,5.252916121308859
RandomForestRegressor,mean_squared_error,train,0.6444332535066714
RandomForestRegressor,mean_absolute_error,test,1.5694253790901838
RandomForestRegressor,mean_absolute_error,train,0.5710160793705097
DecisionTreeRegressor,r2_score,test,0.17995177808254081
DecisionTreeRegressor,r2_score,train,1.0
DecisionTreeRegressor,mean_squared_error,test,9.209896249002394
DecisionTreeRegressor,mean_squared_error,train,0.0
DecisionTreeRegressor,mean_absolute_error,test,2.0877893056664005
DecisionTreeRegressor,mean_absolute_error,train,0.0
SVR,r2_score,test,0.5517692154426532
SVR,r2_score,train,0.5558636001646584
SVR,mean_squared_error,test,5.0340442318496015
SVR,mean_squared_error,train,4.453805119159242
SVR,mean_absolute_error,test,1.4729336155457513
SVR,mean_absolute_error,train,1.446635967298452
LinearRegression,r2_score,test,0.5626480296269051
LinearRegression,r2_score,train,0.5252517944461137
LinearRegression,mean_squared_error,test,4.911865136436333
LinearRegression,mean_squared_error,train,4.760780672314778
LinearRegression,mean_absolute_error,test,1.5684000936741485
LinearRegression,mean_absolute_error,train,1.5835286431522153
